Epoch,"Duration in seconds, Total Time in minutes"
1,17.67215394973755,0.2945358991622925
2,14.585882425308228,0.5376339395840962
3,13.10119080543518,0.7559871196746826
4,14.43230128288269,0.9965254743893941
5,15.122299671173096,1.2485638022422791
6,14.269259929656982,1.4863848010698955
7,13.728201627731323,1.715188161532084
8,12.24059510231018,1.9191980799039206
9,13.508767127990723,2.1443441987037657
10,30.881260633468628,2.659031875928243
11,13.091784000396729,2.877228275934855
12,12.120649099349976,3.0792390942573546
13,16.827504873275757,3.3596975088119505
14,15.8424813747406,3.623738865057627
15,14.792229413986206,3.8702760219573973
16,24.372066020965576,4.276477122306824
17,16.018945693969727,4.5434595505396524
18,16.075255870819092,4.81138048171997
19,15.868704080581665,5.075858883062998
20,18.010945081710815,5.3760413010915125
21,11.600147008895874,5.56937708457311
22,12.767730712890625,5.78217259645462
23,12.305000305175781,5.9872559348742165
24,12.654561519622803,6.198165293534597
25,13.21375036239624,6.4183944662412005
26,17.26853585243225,6.706203397115072
27,14.03881573677063,6.940183659394582
28,13.815069198608398,7.170434812704722
29,12.912989139556885,7.385651298364004
30,13.607334613800049,7.612440208594005
31,14.062477827072144,7.846814839045207
32,13.101963520050049,8.065180897712708
33,11.645932674407959,8.259279775619508
34,11.369829893112183,8.44877694050471
35,10.698760986328125,8.627089623610178
36,11.337597608566284,8.81604958375295
37,11.314597845077515,9.004626214504242
38,10.921878814697266,9.186657528082529
39,10.683213710784912,9.364711089928944
40,12.210294961929321,9.5682160059611
41,11.579770565032959,9.761212182044982
42,12.401818037033081,9.967909149328868
43,12.771201133728027,10.180762501557668
44,12.068639039993286,10.381906485557556
45,12.261444568634033,10.58626389503479
46,11.46655559539795,10.77737315495809
