Parent node,Child node
AF18,AF19
AF18,AF20
AF18,AF21
AF18,AF22
AF18,AF25
AF18,AF26
AF18,AF27
AF18,AF28
AF18,AF29
AF18,AF33
AF18,AF35
AF18,AF36
AF18,AF37
AF18,AF40
AF18,AF41
AF18,AF42
AF19,AF18
AF19,AF20
AF19,AF21
AF19,AF22
AF19,AF25
AF19,AF26
AF19,AF27
AF19,AF28
AF19,AF29
AF19,AF33
AF19,AF35
AF19,AF36
AF19,AF37
AF19,AF40
AF19,AF41
AF19,AF42
AF20,AF18
AF20,AF19
AF20,AF21
AF20,AF22
AF20,AF25
AF20,AF26
AF20,AF27
AF20,AF28
AF20,AF29
AF20,AF33
AF20,AF35
AF20,AF36
AF20,AF37
AF20,AF40
AF20,AF41
AF20,AF42
AF21,AF18
AF21,AF19
AF21,AF20
AF21,AF22
AF21,AF25
AF21,AF26
AF21,AF27
AF21,AF28
AF21,AF29
AF21,AF33
AF21,AF35
AF21,AF36
AF21,AF37
AF21,AF40
AF21,AF41
AF21,AF42
AF22,AF18
AF22,AF19
AF22,AF20
AF22,AF21
AF22,AF25
AF22,AF26
AF22,AF27
AF22,AF28
AF22,AF29
AF22,AF33
AF22,AF35
AF22,AF36
AF22,AF37
AF22,AF40
AF22,AF41
AF22,AF42
AF25,AF18
AF25,AF19
AF25,AF20
AF25,AF21
AF25,AF22
AF25,AF26
AF25,AF27
AF25,AF28
AF25,AF29
AF25,AF33
AF25,AF35
AF25,AF36
AF25,AF37
AF25,AF40
AF25,AF41
AF25,AF42
AF26,AF18
AF26,AF19
AF26,AF20
AF26,AF21
AF26,AF22
AF26,AF25
AF26,AF27
AF26,AF28
AF26,AF29
AF26,AF33
AF26,AF35
AF26,AF36
AF26,AF37
AF26,AF40
AF26,AF41
AF26,AF42
AF27,AF18
AF27,AF19
AF27,AF20
AF27,AF21
AF27,AF22
AF27,AF25
AF27,AF26
AF27,AF28
AF27,AF29
AF27,AF33
AF27,AF35
AF27,AF36
AF27,AF37
AF27,AF40
AF27,AF41
AF27,AF42
AF28,AF18
AF28,AF19
AF28,AF20
AF28,AF21
AF28,AF22
AF28,AF25
AF28,AF26
AF28,AF27
AF28,AF29
AF28,AF33
AF28,AF35
AF28,AF36
AF28,AF37
AF28,AF40
AF28,AF41
AF28,AF42
AF29,AF18
AF29,AF19
AF29,AF20
AF29,AF21
AF29,AF22
AF29,AF25
AF29,AF26
AF29,AF27
AF29,AF28
AF29,AF33
AF29,AF35
AF29,AF36
AF29,AF37
AF29,AF40
AF29,AF41
AF29,AF42
AF33,AF18
AF33,AF19
AF33,AF20
AF33,AF21
AF33,AF22
AF33,AF25
AF33,AF26
AF33,AF27
AF33,AF28
AF33,AF29
AF33,AF35
AF33,AF36
AF33,AF37
AF33,AF40
AF33,AF41
AF33,AF42
AF35,AF18
AF35,AF19
AF35,AF20
AF35,AF21
AF35,AF22
AF35,AF25
AF35,AF26
AF35,AF27
AF35,AF28
AF35,AF29
AF35,AF33
AF35,AF36
AF35,AF37
AF35,AF40
AF35,AF41
AF35,AF42
AF36,AF18
AF36,AF19
AF36,AF20
AF36,AF21
AF36,AF22
AF36,AF25
AF36,AF26
AF36,AF27
AF36,AF28
AF36,AF29
AF36,AF33
AF36,AF35
AF36,AF37
AF36,AF40
AF36,AF41
AF36,AF42
AF37,AF18
AF37,AF19
AF37,AF20
AF37,AF21
AF37,AF22
AF37,AF25
AF37,AF26
AF37,AF27
AF37,AF28
AF37,AF29
AF37,AF33
AF37,AF35
AF37,AF36
AF37,AF40
AF37,AF41
AF37,AF42
AF40,AF18
AF40,AF19
AF40,AF20
AF40,AF21
AF40,AF22
AF40,AF25
AF40,AF26
AF40,AF27
AF40,AF28
AF40,AF29
AF40,AF33
AF40,AF35
AF40,AF36
AF40,AF37
AF40,AF41
AF40,AF42
AF41,AF18
AF41,AF19
AF41,AF20
AF41,AF21
AF41,AF22
AF41,AF25
AF41,AF26
AF41,AF27
AF41,AF28
AF41,AF29
AF41,AF33
AF41,AF35
AF41,AF36
AF41,AF37
AF41,AF40
AF41,AF42
AF42,AF18
AF42,AF19
AF42,AF20
AF42,AF21
AF42,AF22
AF42,AF25
AF42,AF26
AF42,AF27
AF42,AF28
AF42,AF29
AF42,AF33
AF42,AF35
AF42,AF36
AF42,AF37
AF42,AF40
AF42,AF41
Total number of nodes:,22
