Epoch,Loss,ACU_loss
0,37.02297506121807,11736.283094406128
1,6.102591276920933,1934.5214347839355
2,5.375770306361587,1704.119187116623
3,5.19262869877018,1646.063297510147
4,5.153660617040159,1633.7104156017303
5,5.095850898640389,1615.3847348690033
6,5.048647536840349,1600.4212691783905
7,4.896868937399109,1552.3074531555176
8,4.818336855349856,1527.4127831459045
9,4.906695905920083,1555.4226021766663
10,4.6883065881037185,1486.1931884288788
11,4.796077954656318,1520.3567116260529
12,4.651074013875486,1474.390462398529
13,4.7055696222684364,1491.6655702590942
14,4.644405607169359,1472.2765774726868
15,4.660324411061284,1477.322838306427
16,4.588176009782857,1454.4517951011658
17,4.617081347324119,1463.6147871017456
18,4.605323027361079,1459.887399673462
19,4.613487221089072,1462.4754490852356
20,4.59032944098632,1455.1344327926636
21,4.6077375314213125,1460.652797460556
22,4.543733901405936,1440.3636467456818
